City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
200,Mao,ES,2022-03-05 18:59:49,39.8885,4.2658,48.76,81,20,2.3,few clouds
201,Laguna,US,2022-03-05 18:59:49,38.421,-121.4238,50.76,74,100,1.01,overcast clouds
202,Saint-Philippe,RE,2022-03-05 18:59:50,-21.3585,55.7679,80.19,86,45,8.32,scattered clouds
203,Cap Malheureux,MU,2022-03-05 18:59:50,-19.9842,57.6142,80.47,82,100,7.0,overcast clouds
204,Mahon,ES,2022-03-05 18:59:49,39.8885,4.2658,48.76,81,20,2.3,few clouds
205,Semey,KZ,2022-03-05 18:59:50,50.4111,80.2275,32.83,83,100,21.52,light snow
206,Tasiilaq,GL,2022-03-05 18:59:51,65.6145,-37.6368,27.41,87,100,14.5,snow
207,Zhigansk,RU,2022-03-05 18:59:51,66.7697,123.3711,3.13,94,100,15.41,overcast clouds
208,Mackay,AU,2022-03-05 18:59:52,-21.15,149.2,83.68,89,26,10.36,scattered clouds
209,Nikolskoye,RU,2022-03-05 18:59:52,59.7035,30.7861,19.29,94,91,4.94,overcast clouds
210,Springs,ZA,2022-03-05 18:59:52,-26.25,28.4,64.89,97,83,7.94,light rain
211,Santa Maria,BR,2022-03-05 18:59:53,-29.6842,-53.8069,92.5,52,75,2.3,broken clouds
212,Pangnirtung,CA,2022-03-05 18:59:53,66.1451,-65.7125,-9.4,92,75,3.44,broken clouds
213,Maceio,BR,2022-03-05 18:59:53,-9.6658,-35.7353,80.04,78,100,5.75,overcast clouds
214,Borba,BR,2022-03-05 18:59:54,-4.3878,-59.5939,74.26,98,100,2.59,overcast clouds
215,Shimoda,JP,2022-03-05 18:51:28,34.6667,138.95,43.11,47,0,25.12,clear sky
216,Winnemucca,US,2022-03-05 18:59:54,40.973,-117.7357,35.11,83,100,10.04,light snow
217,Poum,NC,2022-03-05 18:51:20,-20.2333,164.0167,80.62,70,16,9.13,few clouds
218,Sambava,MG,2022-03-05 18:59:55,-14.2667,50.1667,77.05,89,100,3.71,moderate rain
219,Carson City,US,2022-03-05 18:59:55,39.1638,-119.7674,38.3,46,40,11.01,scattered clouds
220,Isla Mujeres,MX,2022-03-05 18:56:48,21.2311,-86.731,84.16,63,82,12.48,broken clouds
221,Sao Jose Da Coroa Grande,BR,2022-03-05 18:59:56,-8.8978,-35.1478,76.77,89,100,6.38,overcast clouds
222,Sauda,NO,2022-03-05 18:59:56,59.6506,6.3542,35.69,91,100,3.38,overcast clouds
223,Daru,PG,2022-03-05 18:59:57,-9.0763,143.2092,78.01,87,100,2.06,overcast clouds
224,Samarai,PG,2022-03-05 18:59:57,-10.6167,150.6667,82.71,78,100,13.31,overcast clouds
225,Port Alfred,ZA,2022-03-05 18:59:58,-33.5906,26.891,72.88,81,10,17.43,clear sky
226,Biloela,AU,2022-03-05 18:59:58,-24.4167,150.5,75.18,87,5,4.41,clear sky
227,Hobyo,SO,2022-03-05 18:59:59,5.3505,48.5268,78.26,70,9,15.93,clear sky
228,Touros,BR,2022-03-05 18:58:47,-5.1989,-35.4608,86.9,71,100,11.45,overcast clouds
229,Palu,ID,2022-03-05 18:59:59,-0.8917,119.8707,75.49,96,100,1.57,light rain
230,Mariakani,KE,2022-03-05 19:00:00,-3.8633,39.4736,78.89,87,65,5.32,broken clouds
231,Le Vauclin,MQ,2022-03-05 19:01:00,14.5452,-60.8388,84.25,58,40,19.57,scattered clouds
232,Shawville,CA,2022-03-05 19:01:01,45.6001,-76.4827,32.86,85,100,6.91,overcast clouds
233,Keningau,MY,2022-03-05 19:01:01,5.3378,116.1602,73.85,99,99,0.94,overcast clouds
234,Castro,BR,2022-03-05 19:01:01,-24.7911,-50.0119,77.22,68,48,7.05,scattered clouds
235,Anito,PH,2022-03-05 19:01:02,12.4497,125.2886,77.05,93,100,9.75,overcast clouds
236,Puerto Escondido,MX,2022-03-05 19:01:02,15.85,-97.0667,86.92,54,1,8.25,clear sky
237,Haines Junction,CA,2022-03-05 19:01:03,60.7522,-137.5108,21.85,94,100,1.7,light snow
238,Beringovskiy,RU,2022-03-05 18:52:39,63.05,179.3167,-6.21,99,36,6.17,scattered clouds
239,Ruwi,OM,2022-03-05 19:01:03,23.5996,58.5507,77.7,56,18,6.67,few clouds
240,Torbay,CA,2022-03-05 18:51:24,47.6666,-52.7314,26.58,74,75,24.16,broken clouds
241,Bubaque,GW,2022-03-05 19:01:04,11.2833,-15.8333,75.6,70,2,17.13,clear sky
